depot,date,service_number,actual_kms,actual_trips,seat_kms,passenger_kms,occupancy_ratio,revenue
CONTONMENT,2026-03-13,11,160,,6848,11557.3696,1.6877,16910
IBRAHIMPATNAM,2026-03-13,11,340,,20420.4,18605.02644,0.9111,24359
CONTONMENT,2026-03-13,12,160,,6848,7334.8928,1.0711,10732
KUKATPALLY,2026-03-13,12,304,,13011.2,11371.7888,0.874,16639
HAKIMPET,2026-03-13,21,135,,8074.35,5323.418955,0.6593,6969.5
IBRAHIMPATNAM,2026-03-13,22,311,,18684.448,14917.66328,0.7984,19531
HAKIMPET,2026-03-13,22,130,,7775.3,6054.62611,0.7787,7926.5
HAKIMPET,2026-03-13,31,126,,7536.06,5199.8814,0.69,6808
CONTONMENT,2026-03-13,32,396,,23684.76,25906.39049,1.0938,33916
IBRAHIMPATNAM,2026-03-13,32,348,,20900.88,17861.89205,0.8546,23386
HAKIMPET,2026-03-13,32,104,,6220.24,5518.596928,0.8872,7225
HAKIMPET,2026-03-13,41,132,,7894.92,5624.341008,0.7124,7363
KUKATPALLY,2026-03-13,41,284,,12155.2,9664.59952,0.7951,14140
IBRAHIMPATNAM,2026-03-13,42,314,,18852.56,17695.01282,0.9386,23166
HAKIMPET,2026-03-13,42,102,,6100.62,4070.943726,0.6673,5330
IBRAHIMPATNAM,2026-03-13,52,356,,21381.36,15078.13507,0.7052,19740
HAKIMPET,2026-03-13,52,288,,17250,11655.825,0.6757,15259
CONTONMENT,2026-03-13,61,127,,7595.87,7068.716622,0.9306,9254
IBRAHIMPATNAM,2026-03-13,61,168,,10090.08,7907.595696,0.7837,10353
CONTONMENT,2026-03-13,62,127,,7595.87,8107.072051,1.0673,10614
IBRAHIMPATNAM,2026-03-13,62,180,,10810.8,15477.82236,1.4317,20263
CONTONMENT,2026-03-13,82,136,,8134.16,6689.533184,0.8224,8758
KUKATPALLY,2026-03-13,91,120,,5136,8591.5008,1.6728,12570
KUKATPALLY,2026-03-13,92,120,,5136,8004.9696,1.5586,11712
KUKATPALLY,2026-03-13,101,126,,7536.06,6799.033332,0.9022,8901
CONTONMENT,2026-03-13,101,220,,9290.6,12280.31508,1.3218,17968
KUKATPALLY,2026-03-13,102,126,,7536.06,9683.8371,1.285,12678
KUKATPALLY,2026-03-13,121,126,,7536.06,9527.087052,1.2642,12473
IBRAHIMPATNAM,2026-03-13,122,324,,19452.96,15642.12514,0.8041,20479
KUKATPALLY,2026-03-13,122,126,,7536.06,6795.265302,0.9017,8896
HAKIMPET,2026-03-13,131,134,,8014.54,5873.054912,0.7328,7689
KUKATPALLY,2026-03-13,131,284,,12155.2,15845.51872,1.3036,23183
HAKIMPET,2026-03-13,132,134,,8014.54,5881.069452,0.7338,7699
CONTONMENT,2026-03-13,141,166,,7104.8,8026.29256,1.1297,11743
IBRAHIMPATNAM,2026-03-13,141,338,,20300.28,13278.41315,0.6541,17384
CONTONMENT,2026-03-13,142,148,,6334.4,7994.64624,1.2621,11697
CONTONMENT,2026-03-13,014D,160,,6848,7632.096,1.1145,11167
CONTONMENT,2026-03-13,151,166,,7104.8,6732.50848,0.9476,9850
CONTONMENT,2026-03-13,152,166,,7104.8,6453.28984,0.9083,9442
CONTONMENT,2026-03-13,015D,160,,6848,6875.392,1.004,10059
HAKIMPET,2026-03-13,161,272,,16268.32,11491.94125,0.7064,15045
KUKATPALLY,2026-03-13,161,126,,7536.06,9333.41031,1.2385,12219
IBRAHIMPATNAM,2026-03-13,161,127,,7613.072,7283.425982,0.9567,9535
KUKATPALLY,2026-03-13,162,126,,7536.06,6556.3722,0.87,8584
CONTONMENT,2026-03-13,162,294,,17584.14,13647.05105,0.7761,17866
IBRAHIMPATNAM,2026-03-13,162,195,,11689.788,10753.43598,0.9199,14079
IBRAHIMPATNAM,2026-03-13,171,158,,9486.32,9394.302696,0.9903,12299
HAKIMPET,2026-03-13,172,219,,13164,8784.3372,0.6673,11501
KUKATPALLY,2026-03-13,172,252,,15072.12,16198.00736,1.0747,21207
CONTONMENT,2026-03-13,172,122,,7296.82,6019.8765,0.825,7881
IBRAHIMPATNAM,2026-03-13,172,122,,7324.88,6127.994608,0.8366,8023
CONTONMENT,2026-03-13,181,220,,9290.6,8486.9631,0.9135,12417
IBRAHIMPATNAM,2026-03-13,181,382,,22942.92,16080.69263,0.7009,21052
HAKIMPET,2026-03-13,182,312,,18660.72,11384.90527,0.6101,14904
HAKIMPET,2026-03-13,192,263,,15753.954,9986.431441,0.6339,13075
IBRAHIMPATNAM,2026-03-13,192,368,,22102.08,21067.70266,0.9532,27581
CONTONMENT,2026-03-13,202,251,,15012.31,12266.5585,0.8171,16060
CONTONMENT,2026-03-13,211,126,,7536.06,4321.176804,0.5734,5657
IBRAHIMPATNAM,2026-03-13,211,188,,11291.28,9498.224736,0.8412,12435
HAKIMPET,2026-03-13,212,297,,17814,13779.129,0.7735,18039
CONTONMENT,2026-03-13,212,126,,7536.06,6969.348288,0.9248,9124
IBRAHIMPATNAM,2026-03-13,212,176,,10570.56,6698.563872,0.6337,8770
HAKIMPET,2026-03-13,222,308,,18486,13740.6438,0.7433,17989
