depot,avg_seats_per_bus,lat,lon,target_or
CONTONMENT,43.6,17.4686,78.4986,80%
KARIMNAGAR-I,50.5,18.4386,79.1288,80%
NIZAMABAD-I,48.3,18.6725,78.0941,80%
WARANGAL-I,46,17.9689,79.5941,80%
ARMOOR,49.6,18.79,78.29,80%
BANSWADA,51.4,18.38,77.88,80%
BHUPALAPALLAY,50,18.43,79.88,80%
BODHAN,49,18.67,77.9,80%
HAKIMPET,55.9,17.55,78.5,80%
HYDERABAD-I,44.7,17.385,78.486,80%
HYDERABAD-II,45.2,17.439,78.498,80%
IBRAHIMPATNAM,56.3,17.19,78.65,80%
JANGAON,52,17.72,79.15,80%
KUKATPALLY,55.2,17.49,78.41,80%
HANAMKONDA,56.2,18,79.57,80%
MAHABOOBABAD,52.4,17.6,80,80%
NARSAMPET,51.2,17.93,79.9,80%
PARKAL,52.2,18.23,79.7,80%
THORROR,51.1,17.52,79.67,80%
WARANGAL-II,50.6,17.98,79.6,80%
