depot,service_number,product,avg_seats_per_bus,route,dep_time,arr_time,planned_kms,planned_trips,planned_per_trip,breakeven_cpk,can_be_cancelled
ARMOOR,ARJ2,MB,39,AIRPORT,05:30,16:10,440,2,220,18.81,0
ARMOOR,ARJ4,MB,39,AIRPORT,09:30,20:00,440,2,220,18.81,0
ARMOOR,ARJ3,MB,39,AIRPORT,11:15,22:00,440,2,220,18.81,0
ARMOOR,ARJ6,MB,39,AIRPORT,16:45,08:40,440,2,220,18.81,0
ARMOOR,ARJ1,MB,39,AIRPORT,18:00,09:40,440,2,220,18.81,0
ARMOOR,ARJ5,MB,39,AIRPORT,20:00,10:40,440,2,220,18.81,0
ARMOOR,ARJ7,MB,39,AIRPORT,21:00,12:10,440,2,220,18.81,0
ARMOOR,HT07,HT,36,JBS,04:00,11:30,350,2,175,18.81,0
ARMOOR,HD01,HT,36,JBS,05:00,12:30,350,2,175,18.81,0
ARMOOR,HT08,HT,36,JBS,06:00,13:30,350,2,175,18.81,0
ARMOOR,HT01,HT,36,JBS,07:00,14:30,350,2,175,18.81,0
ARMOOR,HT10,HT,36,JBS,08:00,15:30,350,2,175,18.81,0
ARMOOR,HT05,HT,36,JBS,09:00,16:30,350,2,175,18.81,0
ARMOOR,HT12,HT,36,JBS,11:00,18:30,350,2,175,18.81,0
ARMOOR,HT06,HT,36,JBS,12:00,19:30,350,2,175,18.81,0
ARMOOR,VM01,HT,36,VINJAMOOR,13:30,05:10,1308,2,654,18.81,0
ARMOOR,HY16,HT,36,JBS,10:30,18:00,350,2,175,18.81,0
ARMOOR,HD04,HT,36,JBS,14:00,21:30,350,2,175,18.81,0
ARMOOR,UD02,HT,36,UDAYAGIRI,14:40,08:45,1260,2,630,18.81,0
ARMOOR,HY13,HT,36,JBS,15:00,22:30,350,2,175,18.81,0
ARMOOR,HT15,HT,36,JBS,10:00,17:30,350,2,175,18.81,0
ARMOOR,HT16,HT,36,JBS,10:30,18:00,350,2,175,18.81,0
ARMOOR,HT19,HT,36,JBS,16:00,23:30,350,2,175,18.81,0
ARMOOR,UD01,HT,36,UDAYAGIRI,15:30,06:30,1294,2,647,18.81,0
ARMOOR,JSD1,S.D,59,JBS,09:15,18:00,350,2,175,18.81,0
ARMOOR,JSD2,S.D,59,JBS,11:30,20:15,350,2,175,18.81,0
ARMOOR,JSD4,S.D,59,JBS,16:15,23:05,350,2,175,18.81,1
ARMOOR,JSD5,S.D,59,JBS,17:05,23:50,350,2,175,18.81,1
ARMOOR,KSD1,S.D,59,KARIMNAGAR,13:45,10:45,546,6,91,18.81,0
