depot,date,passengers_per_day,actual_kms,occupancy_ratio
ARMOOR,2023-01-01,12000.0,21413.0,0.651
ARMOOR,2023-01-02,22687.0,31252.0,0.6507
ARMOOR,2023-01-03,19999.0,29538.0,0.6277
ARMOOR,2023-01-04,21242.0,30386.0,0.5711
ARMOOR,2023-01-05,19998.0,29360.0,0.5897
ARMOOR,2023-01-06,19139.0,31082.0,0.6275
ARMOOR,2023-01-07,19701.0,29767.0,0.6253
ARMOOR,2023-01-08,16401.0,26762.0,0.6458
ARMOOR,2023-01-09,21759.0,30318.0,0.6109
ARMOOR,2023-01-10,21607.0,31195.0,0.6905
ARMOOR,2023-01-11,21113.0,31104.0,0.5721
ARMOOR,2023-01-12,22338.0,33260.0,0.5634
ARMOOR,2023-01-13,20307.0,32174.0,0.5971
ARMOOR,2023-01-14,16784.0,28251.0,0.6187
ARMOOR,2023-01-15,9099.0,19207.0,0.5983
ARMOOR,2023-01-16,21093.0,26582.0,0.5369
ARMOOR,2023-01-17,23335.0,32774.0,0.6503
ARMOOR,2023-01-18,25309.0,35772.0,0.5099
ARMOOR,2023-01-19,24735.0,36299.0,0.47
ARMOOR,2023-01-20,22663.0,30754.0,0.5737
ARMOOR,2023-01-21,19668.0,26132.0,0.5427
ARMOOR,2023-01-22,17453.0,26551.0,0.5239
ARMOOR,2023-01-23,25150.0,30775.0,0.5059
ARMOOR,2023-01-24,19592.0,27986.0,0.5942
ARMOOR,2023-01-25,22741.0,29654.0,0.5321
ARMOOR,2023-01-26,19867.0,27863.0,0.5239
ARMOOR,2023-01-27,22783.0,28815.0,0.5058
ARMOOR,2023-01-28,20678.0,27625.0,0.5198
ARMOOR,2023-01-29,20471.0,29987.0,0.5435
ARMOOR,2023-01-30,25590.0,31901.0,0.5276
ARMOOR,2023-01-31,21771.0,29825.0,0.6096
ARMOOR,2023-02-01,23350.0,30187.0,0.5788
ARMOOR,2023-02-02,22731.0,28991.0,0.6304
ARMOOR,2023-02-03,21521.0,29470.0,0.5862
ARMOOR,2023-02-04,20241.0,28905.0,0.5692
ARMOOR,2023-02-05,18893.0,29001.0,0.4994
ARMOOR,2023-02-06,24065.0,31308.0,0.6212
ARMOOR,2023-02-07,21940.0,30104.0,0.5621
ARMOOR,2023-02-08,23238.0,29308.0,0.5952
ARMOOR,2023-02-09,24790.0,30067.0,0.6435
ARMOOR,2023-02-10,25247.0,29397.0,0.6539
ARMOOR,2023-02-11,24492.0,29458.0,0.6561
ARMOOR,2023-02-12,26012.0,28669.0,0.6562
ARMOOR,2023-02-13,27527.0,36369.0,0.7077
ARMOOR,2023-02-14,21952.0,30857.0,0.5536
ARMOOR,2023-02-15,23791.0,30551.0,0.5988
ARMOOR,2023-02-16,24041.0,31460.0,0.632
ARMOOR,2023-02-17,22118.0,34488.0,0.6735
ARMOOR,2023-02-18,16915.0,25798.0,0.5916
ARMOOR,2023-02-19,18250.0,33748.0,0.6163
ARMOOR,2023-02-20,21662.0,33116.0,0.5597
ARMOOR,2023-02-21,21869.0,30821.0,0.5715
ARMOOR,2023-02-22,25715.0,31589.0,0.6297
ARMOOR,2023-02-23,23722.0,30525.0,0.6206
ARMOOR,2023-02-24,23727.0,31955.0,0.5979
ARMOOR,2023-02-25,22948.0,31051.0,0.5855
ARMOOR,2023-02-26,20818.0,29528.0,0.5516
ARMOOR,2023-02-27,24303.0,31360.0,0.62
ARMOOR,2023-02-28,20746.0,30507.0,0.5637
ARMOOR,2023-03-01,22660.0,30814.0,0.5901
ARMOOR,2023-03-02,23625.0,30576.0,0.6231
ARMOOR,2023-03-03,23188.0,31413.0,0.6116
ARMOOR,2023-03-04,22220.0,30959.0,0.651
ARMOOR,2023-03-05,18812.0,30028.0,0.6507
ARMOOR,2023-03-06,20724.0,31550.0,0.6277
ARMOOR,2023-03-07,13630.0,25623.0,0.5711
ARMOOR,2023-03-08,22366.0,32100.0,0.5897
ARMOOR,2023-03-09,25331.0,30322.0,0.6275
ARMOOR,2023-03-10,25193.0,31490.0,0.6253
ARMOOR,2023-03-11,23693.0,29583.0,0.6458
ARMOOR,2023-03-12,22149.0,28513.0,0.6109
ARMOOR,2023-03-13,28284.0,32494.0,0.6905
ARMOOR,2023-03-14,22421.0,30852.0,0.5721
ARMOOR,2023-03-15,21834.0,29832.0,0.5634
ARMOOR,2023-03-16,23159.0,30575.0,0.5971
ARMOOR,2023-03-17,23038.0,29456.0,0.6187
ARMOOR,2023-03-18,22131.0,28661.0,0.5983
ARMOOR,2023-03-19,20087.0,29992.0,0.5369
ARMOOR,2023-03-20,25111.0,31639.0,0.6503
ARMOOR,2023-03-21,18894.0,30841.0,0.5099
ARMOOR,2023-03-22,8499.0,17396.0,0.47
ARMOOR,2023-03-23,21153.0,30919.0,0.5737
ARMOOR,2023-03-24,20983.0,30081.0,0.5427
ARMOOR,2023-03-25,20133.0,29442.0,0.5239
ARMOOR,2023-03-26,19378.0,29146.0,0.5059
ARMOOR,2023-03-27,24545.0,32257.0,0.5942
ARMOOR,2023-03-28,20850.0,29605.0,0.5321
ARMOOR,2023-03-29,20382.0,30242.0,0.5239
ARMOOR,2023-03-30,18819.0,26726.0,0.5058
ARMOOR,2023-03-31,19365.0,28797.0,0.5198
ARMOOR,2023-04-01,21871.0,30480.0,0.5435
ARMOOR,2023-04-02,19964.0,29173.0,0.5276
ARMOOR,2023-04-03,23605.0,30729.0,0.6096
ARMOOR,2023-04-04,20893.0,30776.0,0.5459
ARMOOR,2023-04-05,20177.0,30651.0,0.5306
ARMOOR,2023-04-06,18074.0,31355.0,0.4666
ARMOOR,2023-04-07,16497.0,25337.0,0.5552
ARMOOR,2023-04-08,19302.0,29363.0,0.5018
ARMOOR,2023-04-09,18589.0,28281.0,0.5168
ARMOOR,2023-04-10,25364.0,33445.0,0.6321
ARMOOR,2023-04-11,20726.0,29208.0,0.5402
ARMOOR,2023-04-12,21514.0,30932.0,0.5661
ARMOOR,2023-04-13,20637.0,30844.0,0.5184
ARMOOR,2023-04-14,15800.0,27375.0,0.5963
ARMOOR,2023-04-15,19420.0,28360.0,0.5421
ARMOOR,2023-04-16,18057.0,28107.0,0.5344
